Name,Role_Top,Role_Jungle,Role_Middle,Role_Bottom,Role_Support,Tag_Assassin,Tag_Fighter,Tag_Mage,Tag_Marksman,Tag_Support,Tag_Tank,Is_Ranged,Res_Mana,Res_Energy,Res_Other,Base HP,HP per lvl,Base mana,Mana per lvl,Movement speed,Base armor,Armor per lvl,Base magic resistance,Magic resistance per lvl,Attack range,HP regeneration,HP regeneration per lvl,Mana regeneration,Mana regeneration per lvl,Attack damage,Attack damage per lvl,Attack speed per lvl,Attack speed,AS ratio
Caitlyn,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,580,107,315,40.0,325,27,4.7,30,1.3,650,3.5,0.55,7.4,0.7,60,3.8,4.0,0.681,0.594
Camille,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,670,99,339,52.0,340,35,5.0,32,2.05,125,8.5,0.8,8.15,0.75,68,3.8,2.5,0.644,0.644
Cassiopeia,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,630,104,350,60.0,328,18,4.7,32,1.3,550,5.5,0.5,8.0,0.8,53,3.0,1.5,0.647,0.647
Cho'Gath,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,644,94,270,60.0,345,38,5.0,32,2.05,125,9.0,0.85,7.2,0.45,69,4.2,1.44,0.625,0.625
Corki,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,640,100,350,54.0,325,30,4.5,30,1.3,550,5.5,0.55,7.4,0.7,52,2.5,2.8,0.644,0.644
Darius,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,652,114,263,58.0,340,39,5.2,32,2.05,175,10.0,0.95,6.6,0.35,64,5.0,1.0,0.625,0.625
Diana,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,640,109,375,25.0,345,31,4.3,32,2.05,150,6.5,0.85,8.0,0.8,57,3.0,2.0,0.625,0.694
Draven,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,675,104,361,39.0,330,29,4.5,30,1.3,550,3.75,0.7,8.05,0.65,62,3.6,2.7,0.679,0.679
Dr. Mundo,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,613,103,0,0.0,345,32,3.7,29,2.3,125,7.0,0.5,0.0,0.0,61,2.5,3.3,0.67,0.625
Ekko,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,655,99,280,70.0,340,32,4.2,32,2.05,125,9.0,0.9,7.0,0.8,58,3.0,3.3,0.688,0.625
Elise,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,650,109,324,50.0,330,30,5.2,30,1.3,550,5.5,0.6,6.0,0.8,55,3.0,1.75,0.625,0.625
Evelynn,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,642,98,315,42.0,335,37,4.7,32,2.05,125,8.5,0.75,8.11,0.6,61,3.0,2.1,0.667,0.667
Ezreal,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,600,102,375,70.0,325,24,4.7,30,1.3,550,4.0,0.65,8.5,1.0,62,2.75,2.5,0.625,0.625
Fiddlesticks,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,650,106,500,28.0,335,34,4.7,30,1.3,480,5.5,0.6,8.0,0.8,55,2.65,2.11,0.625,0.625
Fiora,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,620,99,300,60.0,345,33,4.7,32,2.05,150,8.5,0.55,8.0,0.7,66,3.3,3.2,0.69,0.69
Fizz,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,640,106,317,52.0,335,22,4.6,32,2.05,175,8.0,0.7,6.0,0.8,58,3.0,3.1,0.658,0.658
Galio,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,632,126,500,40.0,340,24,4.7,32,2.05,150,8.0,0.8,9.5,0.7,59,3.5,1.5,0.625,0.625
Gangplank,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,630,114,280,60.0,345,31,4.7,32,2.05,125,6.0,0.6,7.5,0.7,64,3.7,3.2,0.658,0.69
Garen,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,690,98,0,0.0,340,38,4.2,32,1.55,175,8.0,0.5,0.0,0.0,69,4.5,3.65,0.625,0.625
Gnar,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,540,79,100,0.0,335,32,3.7,30,1.3,175,4.5,1.25,0.0,0.0,57,3.2,6.0,0.625,0.625
Gragas,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,640,115,400,47.0,330,38,5.0,32,2.05,125,5.5,0.5,6.0,0.8,64,3.5,2.05,0.675,0.625
Graves,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,625,106,325,40.0,340,33,4.6,32,2.05,425,8.0,0.7,8.0,0.7,68,4.0,3.0,0.475,0.49
Gwen,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,620,115,330,40.0,340,39,5.2,32,2.05,150,9.0,0.9,7.5,0.7,63,3.0,2.25,0.69,0.69
Hecarim,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,625,99,280,40.0,345,32,5.45,32,2.05,175,7.0,0.75,7.0,0.8,66,3.7,2.5,0.67,0.67
Heimerdinger,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,558,101,385,20.0,340,19,4.2,30,1.3,550,7.0,0.55,8.0,0.8,56,2.7,1.36,0.658,0.625
Hwei,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,580,109,480,30.0,330,21,4.7,30,1.3,550,5.5,0.55,7.5,0.75,54,3.3,2.5,0.69,0.658
Illaoi,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,656,115,350,60.0,350,35,5.0,32,2.05,125,9.5,0.8,7.5,0.75,68,5.0,2.5,0.625,0.625
Irelia,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,590,115,350,50.0,335,36,4.7,30,2.05,200,8.5,0.85,8.0,0.8,65,4.0,2.5,0.656,0.656
Ivern,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,630,99,450,60.0,330,27,4.7,30,1.3,475,7.0,0.85,6.0,0.75,50,3.0,3.4,0.644,0.644
Janna,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,570,90,360,50.0,325,28,4.5,30,1.3,550,5.5,0.55,11.5,0.4,47,2.5,3.0,0.625,0.625
Jarvan IV,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,640,104,300,55.0,340,36,5.2,32,2.05,175,8.0,0.7,6.5,0.45,64,3.0,2.5,0.658,0.658
Jax,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,665,100,339,52.0,350,36,4.2,32,2.05,125,8.5,0.55,7.6,0.7,68,4.25,3.4,0.638,0.638
Jayce,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,590,109,375,45.0,335,22,5.0,30,1.3,125,6.0,0.6,6.0,0.8,59,4.25,3.0,0.658,0.658
Jhin,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,655,107,300,50.0,330,24,4.7,30,1.3,550,3.75,0.55,6.0,0.8,59,4.7,0.0,0.625,0.0
Jinx,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,630,105,260,50.0,325,26,4.7,30,1.3,525,3.75,0.5,6.7,1.0,59,2.9,1.0,0.625,0.625
Kai'Sa,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,640,102,345,40.0,335,25,4.2,30,1.3,525,3.5,0.55,8.2,0.7,59,2.6,1.8,0.644,0.644
Kalista,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,600,114,300,45.0,330,24,5.2,30,1.3,525,4.0,0.75,6.3,0.4,59,3.25,4.5,0.694,0.694
Karma,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,630,109,374,40.0,335,28,5.0,30,1.3,525,5.5,0.55,13.0,0.8,51,3.3,2.3,0.625,0.625
Karthus,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,620,110,467,31.0,335,21,4.7,30,1.3,450,6.5,0.55,8.0,0.8,46,3.25,2.11,0.625,0.625
Kassadin,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,646,119,400,87.0,335,19,4.0,30,1.3,150,6.0,0.5,6.0,0.8,59,3.9,3.7,0.64,0.64
Katarina,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,672,108,0,0.0,335,28,4.7,32,2.05,125,7.5,0.7,0.0,0.0,58,3.2,2.74,0.658,0.658
Kayle,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,670,92,330,50.0,335,26,4.2,22,1.3,175,5.0,0.5,8.0,0.8,50,2.5,1.5,0.625,0.667
Kayn,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,655,109,410,50.0,340,38,4.5,32,2.05,175,8.0,0.75,11.5,0.95,68,3.3,2.7,0.669,0.669
Kennen,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,580,98,200,0.0,335,29,4.95,30,1.3,550,5.5,0.65,50.0,0.0,48,3.75,3.4,0.625,0.69
Kha'Zix,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,643,99,327,40.0,350,36,4.2,32,2.05,125,7.5,0.75,7.59,0.5,60,3.1,2.7,0.668,0.668
Kindred,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,610,104,300,35.0,325,29,4.7,30,1.3,500,7.0,0.55,7.0,0.4,65,3.25,3.5,0.625,0.625
Kled,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,410,84,100,0.0,345,35,5.2,28,2.05,125,6.0,0.75,0.0,0.0,65,3.5,3.5,0.625,0.625
Kog'Maw,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,635,99,325,40.0,330,24,4.45,30,1.3,500,3.75,0.55,8.75,0.7,61,3.1,2.65,0.665,0.665
K'Sante,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,625,120,320,60.0,330,33,5.2,30,2.1,175,9.5,1.0,7.0,1.0,64,3.5,2.5,0.625,0.625
LeBlanc,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,598,111,400,25.0,340,22,4.7,30,1.3,525,7.5,0.55,8.0,0.8,55,2.2,2.35,0.658,0.4
Lee Sin,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,645,108,200,0.0,345,36,4.9,32,2.05,125,7.5,0.7,50.0,0.0,66,3.7,3.0,0.651,0.651
Leona,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,646,101,302,40.0,335,47,4.8,32,2.05,125,8.5,0.85,6.0,0.8,60,3.0,2.9,0.625,0.625
Lillia,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,605,105,410,50.0,330,22,5.2,32,1.55,325,2.5,0.55,11.5,0.95,61,3.1,2.7,0.625,0.625
Lissandra,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,620,110,475,30.0,325,22,4.9,30,1.3,550,7.0,0.55,8.0,0.4,55,2.7,1.5,0.656,0.625
Lucian,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,641,100,320,43.0,335,28,4.2,30,1.3,500,3.75,0.65,7.0,0.8,60,2.9,3.3,0.638,0.638
Lulu,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,595,92,350,55.0,330,26,4.9,30,1.3,550,6.0,0.6,11.0,0.6,47,2.6,2.25,0.625,0.625
Lux,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,580,99,480,23.5,330,21,5.2,30,1.3,550,5.5,0.55,7.0,0.8,54,3.3,3.0,0.669,0.625
Malphite,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,644,104,280,60.0,335,37,4.95,28,2.05,125,7.0,0.55,7.3,0.55,62,4.0,3.4,0.736,0.638
Malzahar,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,580,101,375,28.0,335,18,4.7,30,1.3,500,6.0,0.6,8.0,0.8,55,3.0,1.5,0.625,0.625
Maokai,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,635,109,375,43.0,330,35,5.2,32,2.05,125,5.0,0.75,6.0,0.6,64,3.3,2.125,0.8,0.695
Master Yi,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,669,105,251,42.0,355,33,4.7,32,2.05,175,7.5,0.65,7.25,0.45,65,2.5,2.5,0.679,0.679
Milio,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,560,88,365,43.0,330,26,4.6,30,1.3,525,5.0,0.5,11.5,0.4,48,3.2,3.0,0.625,0.625
Miss Fortune,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,640,103,300,40.0,325,28,4.2,30,1.3,550,3.75,0.65,8.0,0.8,55,2.4,3.0,0.656,0.656
Mordekaiser,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,645,104,100,0.0,335,37,4.2,32,2.05,175,5.0,0.75,0.0,0.0,61,4.0,1.0,0.625,0.625
Morgana,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,630,104,340,60.0,335,25,5.0,30,1.3,450,5.5,0.4,11.0,0.4,56,3.5,1.53,0.625,0.625
Naafiri,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,635,120,400,55.0,340,30,4.7,32,2.05,125,9.0,0.9,7.5,1.0,55,2.1,2.1,0.663,0.625
Nami,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,560,88,365,43.0,335,29,5.2,30,1.3,550,5.5,0.55,11.5,0.4,54,3.1,2.61,0.644,0.644
Nasus,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,631,104,326,62.0,350,34,4.7,32,2.05,125,9.0,0.9,7.45,0.5,67,4.0,3.48,0.638,0.638
Nautilus,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,646,100,400,47.0,325,39,4.95,32,2.05,175,8.5,0.55,8.65,0.5,61,3.3,1.0,0.706,0.612
Neeko,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,610,104,450,30.0,340,21,5.2,30,1.3,550,7.5,0.75,7.0,0.7,48,2.5,3.5,0.625,0.67
Nidalee,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,610,109,295,45.0,335,32,5.0,30,1.45,525,6.0,0.6,6.0,0.8,58,3.5,3.22,0.638,0.638
Nilah,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,570,101,350,35.0,340,27,4.5,32,2.05,225,6.0,0.9,8.2,0.7,58,2.0,3.0,0.697,0.67
Nocturne,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,655,109,275,35.0,345,38,4.7,32,1.55,125,7.0,0.75,7.0,0.45,62,2.6,2.7,0.721,0.721
Nunu & Willump,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,610,90,280,42.0,345,29,4.2,32,2.05,125,5.0,0.8,7.0,0.5,61,3.0,2.25,0.625,0.625
Olaf,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,645,119,316,50.0,350,35,4.2,32,2.05,125,6.5,0.6,7.5,0.6,68,4.7,2.7,0.694,0.694
Orianna,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,585,110,418,25.0,325,20,4.2,26,1.3,525,7.0,0.55,8.0,0.8,44,2.6,3.5,0.658,0.658
Ornn,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,660,109,341,65.0,335,33,5.2,32,2.05,175,9.0,0.9,8.0,0.6,69,3.5,2.0,0.625,0.625
Pantheon,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,650,109,317,31.0,345,40,4.95,28,2.05,175,6.0,0.65,7.35,0.45,64,3.3,2.95,0.658,0.658
Poppy,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,610,104,280,40.0,345,38,4.7,32,2.05,125,8.0,0.8,7.0,0.7,64,4.0,2.5,0.625,0.625
Pyke,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,670,110,415,50.0,330,47,4.7,32,2.05,150,7.0,0.5,8.0,1.0,62,2.0,2.5,0.667,0.667
Qiyana,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,590,124,375,60.0,335,28,4.7,32,2.05,150,6.0,0.9,8.0,0.7,66,3.1,2.1,0.688,0.625
Quinn,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,565,107,269,35.0,330,28,4.7,30,1.3,525,5.5,0.55,7.0,0.4,59,2.7,3.1,0.668,0.668
Rakan,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,610,99,315,50.0,335,30,4.9,32,2.05,300,5.0,0.5,8.75,0.5,62,3.5,3.0,0.635,0.635
Rammus,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,675,94,310,33.0,335,40,5.5,32,2.05,125,8.0,0.55,7.85,0.5,55,2.75,2.215,0.656,0.625
Rek'Sai,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,600,99,100,0.0,340,36,4.95,32,2.05,175,2.5,0.5,0.0,0.0,58,3.0,2.0,0.667,0.667
Rell,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,610,104,350,45.0,330,36,4.2,30,2.05,175,7.5,0.85,6.0,0.35,55,3.0,1.5,0.625,0.625
Renata Glasc,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,545,94,350,50.0,330,27,4.7,30,1.3,550,5.5,0.55,11.5,0.5,49,3.0,2.11,0.625,0.625
Renekton,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,660,111,100,0.0,345,35,5.2,28,2.05,125,8.0,0.75,0.0,0.0,69,4.15,2.75,0.665,0.665
Rengar,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,590,104,4,0.0,345,34,4.2,32,2.05,125,6.0,0.5,0.0,0.0,68,3.0,3.0,0.667,0.667
Riven,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,630,100,0,0.0,340,33,4.4,32,2.05,125,8.5,0.5,0.0,0.0,64,3.0,3.5,0.625,0.625
Rumble,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,625,105,150,0.0,345,36,4.7,28,1.55,125,7.0,0.6,0.0,0.0,64,3.2,1.85,0.644,0.644
Ryze,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,645,124,300,70.0,340,22,4.2,32,1.3,550,8.0,0.8,8.0,1.0,58,3.0,2.11,0.658,0.625
Samira,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,630,108,349,38.0,335,26,4.7,30,1.3,500,3.25,0.55,8.2,0.7,57,3.0,3.3,0.658,0.658
Sejuani,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,630,114,400,40.0,340,34,5.45,32,2.05,150,8.5,1.0,7.0,0.7,66,4.0,3.5,0.688,0.625
Senna,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,530,89,350,45.0,330,28,4.7,30,1.3,600,3.5,0.55,11.5,0.7,50,0.0,4.0,0.625,0.4
Seraphine,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,570,90,360,25.0,330,26,4.2,30,1.3,525,6.5,0.6,11.5,0.95,50,3.0,2.0,0.669,0.625
Sett,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,670,114,0,0.0,340,33,5.2,28,2.05,125,7.0,0.5,0.0,0.0,60,4.0,1.75,0.625,0.625
Shaco,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,630,99,297,40.0,345,30,4.0,32,2.05,125,8.5,0.55,6.0,0.35,63,3.0,3.0,0.694,0.694
Shen,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,610,99,400,0.0,340,34,4.2,32,2.05,125,8.5,0.75,50.0,0.0,64,3.0,3.0,0.751,0.651
Shyvana,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,665,104,100,0.0,350,38,4.55,32,2.05,125,8.5,0.8,0.0,0.0,66,3.0,2.5,0.658,0.658
Singed,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,650,99,330,45.0,345,34,4.7,32,2.05,125,9.5,0.55,7.5,0.55,63,3.4,1.9,0.625,0.625
Sion,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,655,87,400,52.0,345,32,4.2,32,2.05,175,7.5,0.8,8.0,0.6,68,4.0,1.3,0.679,0.679
Sivir,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,600,104,340,45.0,335,30,4.45,30,1.3,500,3.25,0.55,6.0,0.8,58,2.5,2.0,0.625,0.625
Skarner,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,610,105,320,40.0,335,33,4.8,32,2.05,150,7.5,0.75,7.2,0.75,60,3.0,2.0,0.625,0.625
Smolder,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,605,100,300,40.0,330,26,4.7,30,1.3,550,4.5,0.6,8.5,0.7,60,2.3,4.0,0.638,0.638
Sona,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,550,91,340,45.0,325,26,4.2,30,1.3,550,5.5,0.55,11.5,0.4,49,3.0,2.3,0.644,0.644
Soraka,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,605,88,425,40.0,325,32,5.0,30,1.3,550,2.5,0.5,11.5,0.4,50,3.0,2.14,0.625,0.625
Swain,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,595,99,468,29.0,330,26,5.2,30,1.3,525,7.0,0.65,8.0,0.8,58,2.7,2.11,0.625,0.625
Sylas,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,575,129,400,70.0,340,27,5.2,32,2.55,175,9.0,0.9,8.0,0.8,61,3.0,3.5,0.645,0.645
Syndra,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,563,104,480,40.0,330,25,4.6,30,1.3,550,6.5,0.6,8.0,0.8,54,2.9,2.0,0.658,0.625
Tahm Kench,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,640,103,325,50.0,335,42,4.7,32,2.05,175,6.5,0.55,8.0,1.0,56,3.2,2.5,0.658,0.658
Taliyah,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,550,104,470,30.0,330,18,4.7,30,1.3,525,6.5,0.65,8.0,0.8,58,3.3,1.36,0.658,0.625
Talon,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,658,109,400,37.0,335,30,4.7,39,2.05,125,8.5,0.75,7.6,0.8,68,3.1,2.9,0.625,0.625
Taric,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,645,99,300,60.0,340,40,4.3,28,2.05,150,6.0,0.5,8.5,0.8,55,3.5,2.0,0.625,0.625
Teemo,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,598,104,334,25.0,330,24,4.95,30,1.3,500,5.5,0.65,9.6,0.45,54,3.0,3.38,0.69,0.69
Thresh,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,600,120,274,44.0,330,33,0.0,30,1.55,450,7.0,0.55,6.0,0.8,56,2.2,3.5,0.625,0.625
Tristana,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,640,102,250,32.0,325,30,4.5,28,1.3,525,4.0,0.65,7.2,0.45,59,3.7,1.5,0.656,0.679
Trundle,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,650,110,340,45.0,350,37,3.9,32,2.05,175,6.0,0.75,7.5,0.6,68,4.0,2.9,0.67,0.67
Tryndamere,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,696,108,100,0.0,345,33,4.3,32,2.05,175,8.5,0.9,0.0,0.0,66,4.0,3.4,0.67,0.67
Twisted Fate,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,604,108,333,39.0,330,21,4.35,30,1.3,525,5.5,0.6,8.0,0.8,52,2.5,2.5,0.625,0.651
Twitch,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,630,104,300,40.0,330,27,4.2,30,1.3,550,3.75,0.6,7.25,0.7,59,3.1,3.38,0.679,0.679
Udyr,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,664,92,271,50.0,350,31,4.7,32,2.05,125,6.0,0.75,7.5,0.45,62,4.0,3.0,0.65,0.65
Urgot,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,655,102,340,45.0,330,36,5.0,32,2.05,350,7.5,0.7,7.25,0.8,63,4.0,3.75,0.625,0.625
